time,job,job_counting,city
2023-03,.NET,26,Hà Nội
2023-04,.NET,24,Hà Nội
2023-05,.NET,26,Hà Nội
2023-06,.NET,21,Hà Nội
2023-07,.NET,34,Hà Nội
2023-08,.NET,24,Hà Nội
2023-09,.NET,15,Hà Nội
2023-10,.NET,25,Hà Nội
2023-11,.NET,25,Hà Nội
2023-12,.NET,23,Hà Nội
2024-01,.NET,24,Hà Nội
2024-02,.NET,36,Hà Nội
2024-03,.NET,26,Hà Nội
2024-04,.NET,34,Hà Nội
2024-05,.NET,37,Hà Nội
2015-01,.NET,56,Hồ Chí Minh
2015-02,.NET,5,Hồ Chí Minh
2015-03,.NET,64,Hồ Chí Minh
2015-04,.NET,90,Hồ Chí Minh
2015-05,.NET,65,Hồ Chí Minh
2015-06,.NET,45,Hồ Chí Minh
2015-07,.NET,69,Hồ Chí Minh
2015-08,.NET,33,Hồ Chí Minh
2015-09,.NET,51,Hồ Chí Minh
2015-10,.NET,69,Hồ Chí Minh
2015-11,.NET,32,Hồ Chí Minh
2015-12,.NET,55,Hồ Chí Minh
2016-01,.NET,68,Hồ Chí Minh
2016-02,.NET,71,Hồ Chí Minh
2016-03,.NET,40,Hồ Chí Minh
2016-04,.NET,116,Hồ Chí Minh
2016-05,.NET,52,Hồ Chí Minh
2016-06,.NET,101,Hồ Chí Minh
2016-07,.NET,108,Hồ Chí Minh
2016-08,.NET,101,Hồ Chí Minh
2016-09,.NET,149,Hồ Chí Minh
2016-10,.NET,68,Hồ Chí Minh
2016-11,.NET,38,Hồ Chí Minh
2016-12,.NET,67,Hồ Chí Minh
2017-01,.NET,42,Hồ Chí Minh
2017-02,.NET,71,Hồ Chí Minh
2017-03,.NET,108,Hồ Chí Minh
2017-04,.NET,181,Hồ Chí Minh
2017-05,.NET,110,Hồ Chí Minh
2017-06,.NET,178,Hồ Chí Minh
2017-07,.NET,160,Hồ Chí Minh
2017-08,.NET,138,Hồ Chí Minh
2017-09,.NET,155,Hồ Chí Minh
2017-10,.NET,61,Hồ Chí Minh
2017-11,.NET,90,Hồ Chí Minh
2017-12,.NET,60,Hồ Chí Minh
2018-01,.NET,53,Hồ Chí Minh
2018-02,.NET,103,Hồ Chí Minh
2018-03,.NET,145,Hồ Chí Minh
2018-04,.NET,129,Hồ Chí Minh
2018-05,.NET,189,Hồ Chí Minh
2018-06,.NET,135,Hồ Chí Minh
2018-07,.NET,95,Hồ Chí Minh
2018-08,.NET,138,Hồ Chí Minh
2018-09,.NET,226,Hồ Chí Minh
2018-10,.NET,124,Hồ Chí Minh
2018-11,.NET,107,Hồ Chí Minh
2018-12,.NET,102,Hồ Chí Minh
2019-01,.NET,126,Hồ Chí Minh
2019-02,.NET,125,Hồ Chí Minh
2019-03,.NET,154,Hồ Chí Minh
2019-04,.NET,162,Hồ Chí Minh
2019-05,.NET,264,Hồ Chí Minh
2019-06,.NET,173,Hồ Chí Minh
2019-07,.NET,64,Hồ Chí Minh
2019-08,.NET,167,Hồ Chí Minh
2019-09,.NET,156,Hồ Chí Minh
2019-10,.NET,114,Hồ Chí Minh
2019-11,.NET,282,Hồ Chí Minh
2019-12,.NET,79,Hồ Chí Minh
2020-01,.NET,132,Hồ Chí Minh
2020-02,.NET,55,Hồ Chí Minh
2020-03,.NET,44,Hồ Chí Minh
2020-04,.NET,267,Hồ Chí Minh
2020-05,.NET,20,Hồ Chí Minh
2020-06,.NET,50,Hồ Chí Minh
2020-07,.NET,29,Hồ Chí Minh
2020-08,.NET,44,Hồ Chí Minh
2020-09,.NET,34,Hồ Chí Minh
2020-10,.NET,101,Hồ Chí Minh
2020-11,.NET,38,Hồ Chí Minh
2020-12,.NET,79,Hồ Chí Minh
2021-01,.NET,40,Hồ Chí Minh
2021-02,.NET,41,Hồ Chí Minh
2021-03,.NET,51,Hồ Chí Minh
2021-04,.NET,52,Hồ Chí Minh
2021-05,.NET,97,Hồ Chí Minh
2021-06,.NET,105,Hồ Chí Minh
2021-07,.NET,139,Hồ Chí Minh
2021-08,.NET,73,Hồ Chí Minh
2021-09,.NET,97,Hồ Chí Minh
2021-10,.NET,92,Hồ Chí Minh
2021-11,.NET,37,Hồ Chí Minh
2021-12,.NET,86,Hồ Chí Minh
2022-01,.NET,53,Hồ Chí Minh
2022-02,.NET,70,Hồ Chí Minh
2022-03,.NET,85,Hồ Chí Minh
2022-04,.NET,106,Hồ Chí Minh
2022-05,.NET,77,Hồ Chí Minh
2022-06,.NET,54,Hồ Chí Minh
2022-07,.NET,54,Hồ Chí Minh
2022-08,.NET,50,Hồ Chí Minh
2022-09,.NET,35,Hồ Chí Minh
2022-10,.NET,48,Hồ Chí Minh
2022-11,.NET,43,Hồ Chí Minh
2022-12,.NET,63,Hồ Chí Minh
2023-01,.NET,22,Hồ Chí Minh
2023-02,.NET,27,Hồ Chí Minh
2023-03,.NET,14,Hồ Chí Minh
2023-04,.NET,34,Hồ Chí Minh
2023-05,.NET,28,Hồ Chí Minh
2023-06,.NET,28,Hồ Chí Minh
2023-07,.NET,31,Hồ Chí Minh
2023-08,.NET,25,Hồ Chí Minh
2023-09,.NET,19,Hồ Chí Minh
2023-10,.NET,19,Hồ Chí Minh
2023-11,.NET,17,Hồ Chí Minh
2023-12,.NET,21,Hồ Chí Minh
2024-01,.NET,16,Hồ Chí Minh
2024-02,.NET,26,Hồ Chí Minh
2024-03,.NET,34,Hồ Chí Minh
2024-04,.NET,16,Hồ Chí Minh
2024-05,.NET,31,Hồ Chí Minh
2015-01,.NET,47,Đà Nẵng
2015-02,.NET,5,Đà Nẵng
2015-03,.NET,60,Đà Nẵng
2015-04,.NET,108,Đà Nẵng
2015-05,.NET,74,Đà Nẵng
2015-06,.NET,40,Đà Nẵng
2015-07,.NET,75,Đà Nẵng
2015-08,.NET,35,Đà Nẵng
2015-09,.NET,50,Đà Nẵng
2015-10,.NET,69,Đà Nẵng
2015-11,.NET,27,Đà Nẵng
2015-12,.NET,62,Đà Nẵng
2016-01,.NET,68,Đà Nẵng
2016-02,.NET,89,Đà Nẵng
2016-03,.NET,48,Đà Nẵng
2016-04,.NET,124,Đà Nẵng
2016-05,.NET,50,Đà Nẵng
2016-06,.NET,108,Đà Nẵng
2016-07,.NET,99,Đà Nẵng
2016-08,.NET,120,Đà Nẵng
2016-09,.NET,126,Đà Nẵng
2016-10,.NET,84,Đà Nẵng
2016-11,.NET,38,Đà Nẵng
2016-12,.NET,66,Đà Nẵng
2017-01,.NET,36,Đà Nẵng
2017-02,.NET,72,Đà Nẵng
2017-03,.NET,120,Đà Nẵng
2017-04,.NET,213,Đà Nẵng
2017-05,.NET,133,Đà Nẵng
2017-06,.NET,150,Đà Nẵng
2017-07,.NET,156,Đà Nẵng
2017-08,.NET,146,Đà Nẵng
2017-09,.NET,156,Đà Nẵng
2017-10,.NET,55,Đà Nẵng
2017-11,.NET,103,Đà Nẵng
2017-12,.NET,51,Đà Nẵng
2018-01,.NET,63,Đà Nẵng
2018-02,.NET,113,Đà Nẵng
2018-03,.NET,149,Đà Nẵng
2018-04,.NET,157,Đà Nẵng
2018-05,.NET,176,Đà Nẵng
2018-06,.NET,167,Đà Nẵng
2018-07,.NET,94,Đà Nẵng
2018-08,.NET,121,Đà Nẵng
2018-09,.NET,202,Đà Nẵng
2018-10,.NET,150,Đà Nẵng
2018-11,.NET,106,Đà Nẵng
2018-12,.NET,106,Đà Nẵng
